,,,Card,Amt,%
,Time Bonus,Base Game,"Red
2m, 3m, 5m",25,13.9%
,,,"Orange
4m, 6m, 10m",15,8.3%
,,,"Yellow
6m, 9m, 15m",10,5.6%
,,,"Green
8m, 12m, 20m",3,1.7%
,,,"Blue
12m, 18m, 30m",2,1.1%
,,Expansion 1,"Black
20m, 36m, 60m",4,2.2%
,,,"Orange
10%",4,2.2%
,,,"Red
5%",4,2.2%
,,Total,,67,37.2%
,Power Ups,Base Game,Randomize,4,2.2%
,,,Veto,4,2.2%
,,,Duplicate,2,1.1%
,,,Move,1,0.6%
,,,"Discard 1, Draw 2",4,2.2%
,,,"Discard 2, Draw 3",4,2.2%
,,,"Draw 1, Expand 1",2,1.1%
,,Expansion 1,"Discard 3, Draw 4",4,2.2%
,,,"Draw 2, Expand 2",2,1.1%
,,,Time Trap,5,2.8%
,,,Discard Me,2,1.1%
,,,Nothing,5,2.8%
,,Total,,39,21.7%
,💀,Curses Base Game,,24,13.3%
,,Curses Expansion 1,,50,27.8%
,,Total,,74,41.1%
,Deck Total,,,180,
,,,,,
,Blanks,,,25,
,Rubber bands,,,2,
,Six-sided dice,,,6,
,"Expansion Pack Volume 1 
Greeting & Rules QR/link",,,1,
,"Expansion Pack Volume 1 
Alternative unit curses",,,14,
,,,,,
,"this spreadsheet was originally made by u/Jim777PS3, and adapted for the Expansion Pack Volume 1 by @d_ph. credits to everyone from Jet Lag: The Game and Nebula for making this stuff. play responsibly. respect the places you visit. spread love. have fun.",,,,
