Set,Sorting Name,Title,Text,Casting Cost,Rule Book Notes
Expansion 1,anonymousbenefactor,"Curse Of
The Anonymous Benefactor",Seekers must place one dollar/euro/pound (or your country's equivalent) in a public place and confirm that it has been taken by a stranger before asking another question. Seekers cannot speak directly to any strangers about the money.,Donate money under the same circumstances.,—
Expansion 1,archaeologist,"Curse Of
The Archaeologist",Send the seekers a photo of a building or structure whose age you can verify to within a century. The seekers must find a building or structure (whose age they can also verify) from the same century or earlier before asking another question.,A standard photo of a building or structure.,"“Building or structure” encompasses any manmade objects. To verify the age, you must have at least one credible source that specifically references that object. Partially rebuilt or renovated structures may use their original build date, but fully rebuilt structures (or structures designed to emulate an older structure) may not."
Expansion 1,bargainhunter,"Curse Of
The Bargain Hunter","Send the seekers a picture of a discounted price tag (or other written discount) that you found in the real world. They must find an item that is equally (or more) discounted, by percentage, before asking another question.",A photo of a price tag.,The discount cannot be found online or in a publication; it must be in a store that is selling that item in-person. The discount must be clearly marked as being a discount; it can’t just be an item that happens to be cheaper than normal.
Base Game,birdguide,"Curse Of
The Bird Guide","You have one chance to film a bird for as long as possible, up to [S5, M10, L15] minutes straight. If, at any point, the bird leaves the frame, your timer is stopped. The seekers must then film a bird for the same amount of time or longer before asking another question.",Film a bird.,"The bird must be in frame from the moment the video starts. It is considered ""in frame"" so long as there is any recognizable portion of the bird on camera. The seekers have unlimited attempts to accomplish this."
Expansion 1,blindwanderer,"Curse Of
The Blind Wanderer","Seekers must ask their next question at least [S1, M3, L10]mi [S2, M5, L15]km from where they are right now.","Seekers must be at least [S2, M6, L20]mi [S4, M12, L30]km from you.",—
Base Game,bridgetroll,"Curse Of
The Bridge Troll",The seekers must ask their next question from under a bridge.,"Seekers must be at least [S1, M5, L30]mi [S2, M10, L50]km from you.","""Bridge"" is defined as any elevated structure, acting as a path, road or railway, intended to be crossed by pedestrians, cars, or other vehicles. All seekers must have some part of their body under some part of the bridge when the next question is asked. If there are no bridges on the game map, this curse should be removed from the deck."
Base Game,cairn,"Curse Of
The Cairn","You have one attempt to stack as many rocks on top of each other as you can in a freestanding tower. Each rock may only touch one other rock. Once you have added a rock to the tower, it may not be removed. Before adding another rock, the tower must stand for at least five seconds. If at any point, any rock other then the base rock touches the ground, your tower has fallen. Once your tower falls, tell the seekers how many rocks high your tower was when it last stood for five seconds. The seekers must then construct a rock tower of the same number of rocks, under the same parameters, before asking another question. If their tower falls, they must restart. The rocks must be found in nature, and both teams must disperse the rocks after building.",Build a rock tower.,"You cannot begin fulfilling the casting cost of this curse if you would be otherwise unable to play a curse; once the cost is fulfilled, this curse must be cast immediately. ""Found in nature,"" in this context, does not necessarily mean found in a natural space or untouched by humans; it simply means that you must find the rocks yourself, and cannot buy them."
Expansion 1,chasm,"Curse Of
The Chasm","For the next three questions that the seekers ask, they must roll a die. If they roll a 1, 2, 3, or 4, that question is automatically randomized.",Discard a randomize.,—
Expansion 1,clone,"Curse Of
The Clone","Find a stranger in public and note the following things about them: Do they have lang sleeves or short sleeves? Do they have long pants/skirt or short pants/skirt? Do they have glasses or no glasses? Do they have a hat or no hat? Do they have a bag or no bag?
The seekers must find a stranger with the same qualities before asking another question.",Find a stranger.,"Long sleeves are defined as sleeves that extend past the elbow, and long pants/skirts are defined as extending past the knee."
Expansion 1,curiousexplorer,"Curse Of
The Curious Explorer","Seekers must spend at least [S10, M20, L30] minutes in a museum before asking another question. If there is an entry fee, they may wait in the lobby or directly outside.",Seekers must be off-transit within 0.5mi (1km) of a museum that is open for at least another hour.,“Museum” is anything categorized as a museum by the mapping app you are using. Players may also choose to wait outside if the museum is closed by the time they arrive. “Off-transit” means that players have physically disembarked their last form of transit and that it has left the station (i.e. you cannot temporarily step off a train while it’s stopped to fulfill the condition.)
Expansion 1,dataleak,"Curse Of
The Data Leak","For the rest of the run, seekers must tell you their route and destination every time they board any form of transit. They may not disembark at any other destination unless forced to.","Discard [S4, M6, L10] minutes worth of time bonuses.","“Route” includes start and end destinations and the line of transit (if applicable.) If forced off a route for any reason, the hider must be notified immediately. Players may not discard part of a time bonus; they must discard cards in their entirety. It is possible that players may have to discard more than the required number of minutes in order to pay for this curse."
Base Game,distantcuisine,"Curse Of
The Distant Cuisine",Find a restaurant within your zone that explicitly serves food from a specific foreign country. The seekers must visit a restaurant serving food from a country that is an equal or greater distance away before asking another question.,You must be at the restaurant.,"The restaurants used for this curse must explicitly reference a single country or region within a single country in either their name or some other public-facing material such as a menu. If a restaurant associates itself with multiple countries or a region larger than a single country (such as an ""Asian"" restaurant), it cannot be used for this curse. Distance from a given country is measured from your exact location to the nearest point in that country."
Expansion 1,divineblessing,"Curse Of
The Divine Blessing","For the rest of the round, keep all cards drawn. Hand size limit still applies.",Discard 3 curses.,—
Base Game,drainedbrain,"Curse Of
The Drained Brain",Choose three questions in different categories. The seekers cannot ask those questions for the rest of the run.,Discard your hand.,"This curse may be used (and its price paid) during the time interval between a question and its answer, allowing a player to discard their hand before receiving the reward from a given question. You may not, however, ban the question that has just been asked, even if you have not yet answered it. Questions removed frcom the game using this curse cannot be asked, even for increased cost."
Base Game,eggpartner,"Curse Of
The Egg Partner","Seekers must acquire an egg before asking another question. This egg is now treated as an official team member of the seekers. If any team members are abandoned or killed (defined as crack, in the egg's case) before the end of your run, you are awarded an extra [S30, M45, L60] minutes. This curse cannot be played during the endgame.",Discard two cards.,"The egg can be from any type of animal, but it must be a real egg (a chocolate egg or a plastic egg, for example, would not count.) Any visible fracture, however small, counts as killing the egg. If you do not want to buy items during the course of your game, or object to this curse to ethical grounds, this curse should be removed from the deck. For any other curse that requires all seekers to do something, the egg counts as a seeker. For example, Curse of the Lemon Phylactery after this curse has been played would require the egg to have a lemon attached to it."
Expansion 1,emptymind,"Curse Of
The Empty Mind",Search through the deck and choose any three cards to add to your hand. You must play this curse immediately.,You cannot draw cards for the rest of the round.,“Immediately” means that this curse never enters your hand; it is played the moment it is chosen. Cards must be chosen before the next question is asked.
Base Game,endlesstumble,"Curse Of
The Endless Tumble","Seekers must roll a die at least 100ft (30m) and have it land on a 5 or a 6 before they can ask another question. The die must roll the full distance, unaided, using only the momentum from the initial throw and gravity to travel the 100ft (30m). If the seekers accidentally hit someone with a die you are awarded a [S10, M20, L30] minute bonus.","Roll a die. If it's a 5 or 6, this card has no effect.","30 meters is measured parallel to the ground. The die can, and likely should, be rolled on an inclined surface. If the die is lost or does not land cleanly on one side, it cannot be counted. Any bonuses awarded to the hider should be delivered immediately."
