name,system,lines,colour,kommun,lat,lon
Abrahamsberg,Tunnelbana,17/18/19,green,Stockholm,59.336468,17.953763
AGA,Tram,21,orange,Lidingö,59.346293,18.156505
Akalla,Tunnelbana,11,blue,Stockholm,59.415581,17.913219
Alby,Tunnelbana,13,red,Botkyrka,59.239309,17.844807
Alléparken,Tram,12,nockeby,Stockholm,59.329287,17.974462
Altorp,Roslagsbanan,29,roslag,Danderyd,59.410829,18.07284
Alvik,Tunnelbana + Tram,17/18/19/12/30/31,green/nockeby/orange,Stockholm,59.333401,17.982279
Alviks strand,Tram,30/31,orange,Stockholm,59.328963,17.98222
Arlanda central,Pendeltåg,40,pendel,Sigtuna,59.649426,17.928595
Arninge,Roslagsbanan,28,roslag,Täby,59.458786,18.141376
Aspudden,Tunnelbana,13,red,Stockholm,59.306576,18.002392
Axelsberg,Tunnelbana,13,red,Stockholm,59.304325,17.974414
Bagarmossen,Tunnelbana,17,green,Stockholm,59.276186,18.13134
Baggeby,Tram,21,orange,Lidingö,59.357055,18.132622
Bandhagen,Tunnelbana,19,green,Stockholm,59.270305,18.049588
Barkarby,Pendeltåg,43,pendel,Järfälla,59.404783,17.865414
Bergshamra,Tunnelbana,14,red,Solna,59.380702,18.037404
Björkhagen,Tunnelbana,17,green,Stockholm,59.291204,18.115486
Blackeberg,Tunnelbana,17/18/19,green,Stockholm,59.348473,17.882699
Blåsut,Tunnelbana,18,green,Stockholm,59.290503,18.091161
Bodal,Tram,21,orange,Lidingö,59.353954,18.138162
Bredäng,Tunnelbana,13,red,Stockholm,59.294783,17.933437
Brevik,Tram,21,orange,Lidingö,59.348411,18.203624
Bro,Pendeltåg,43,pendel,Upplands-Bro,59.512344,17.632897
Bromma Blocks,Tram,31,orange,Stockholm,59.353827,17.956882
Bromma flygplats,Tram,31,orange,Stockholm,59.357067,17.946688
Brommaplan,Tunnelbana,17/18/19,green,Stockholm,59.338283,17.939694
Bråvallavägen,Roslagsbanan,28,roslag,Danderyd,59.405305,18.060404
Bällsta,Roslagsbanan,27,roslag,Vallentuna,59.522982,18.07196
Bällsta bro,Tram,30,orange,Sundbyberg,59.360752,17.963285
Bålsta,Pendeltåg,43,pendel,Håbo,59.567477,17.535322
Danderyds sjukhus,Tunnelbana,14,red,Danderyd,59.390951,18.041963
Djurgårdsbron,Tram,7,city,Stockholm,59.331736,18.092641
Djurgårdsskolan,Tram,7,city,Stockholm,59.323247,18.104603
Djursholms Ekeby,Roslagsbanan,28,roslag,Danderyd,59.413309,18.057394
Djursholms Ösby,Roslagsbanan,27/28/29,roslag,Danderyd,59.398643,18.059099
Duvbo,Tunnelbana,10,blue,Sundbyberg,59.367562,17.964303
Ekskogen,Roslagsbanan,27,roslag,Vallentuna,59.639006,18.226273
Enebyberg,Roslagsbanan,28,roslag,Danderyd,59.42581,18.051214
Enskede gård,Tunnelbana,19,green,Stockholm,59.289287,18.070204
Ensta,Roslagsbanan,27,roslag,Täby,59.452139,18.063628
Erstaviksbadet,Saltsjöbanan,26,saltsjo,Nacka,59.272884,18.285232
Farsta,Tunnelbana,18,green,Stockholm,59.243353,18.093929
Farsta strand,Tunnelbana + Pendeltåg,18/43,green/pendel,Stockholm,59.235049,18.102066
Fisksätra,Saltsjöbanan,25,saltsjo,Nacka,59.294189,18.256127
Fittja,Tunnelbana,13,red,Botkyrka,59.24736,17.860701
Flemingsberg,Pendeltåg,40/41,pendel,Huddinge,59.218719,17.946934
Fridhemsplan,Tunnelbana,10/11/17/18/19,blue/green,Stockholm,59.332948,18.031055
Fruängen,Tunnelbana,14,red,Stockholm,59.286468,17.964876
Frösunda,Roslagsbanan,27,roslag,Vallentuna,59.624869,18.17089
Galoppfältet,Roslagsbanan,28,roslag,Täby,59.446931,18.085027
Gamla stan,Tunnelbana,13/14/17/18/19,red/green,Stockholm,59.323305,18.067002
Globen,Tunnelbana + Tram,19/30,green/orange,Stockholm,59.294058,18.076785
Gnesta,Pendeltåg,48,pendel,Gnesta,59.048467,17.312508
Gröndal,Tram,30,orange,Stockholm,59.31594,18.0113
Gröndalsviken,Pendeltåg,43,pendel,Nynäshamn,58.899152,17.931768
Gubbängen,Tunnelbana,18,green,Stockholm,59.26362,18.082079
Gullmarsplan,Tunnelbana + Tram,17/18/19/30,green/orange,Stockholm,59.299529,18.080639
Gärdet,Tunnelbana,13,red,Stockholm,59.345877,18.098877
Gåshaga,Tram,21,orange,Lidingö,59.356596,18.226262
Gåshaga brygga,Tram,21,orange,Lidingö,59.356893,18.233862
Hagsätra,Tunnelbana,19,green,Stockholm,59.262548,18.012769
Hallonbergen,Tunnelbana,10,blue,Sundbyberg,59.374459,17.969111
Hallunda,Tunnelbana,13,red,Botkyrka,59.24328,17.825092
Hammarbyhöjden,Tunnelbana,17,green,Stockholm,59.294805,18.104328
Handen,Pendeltåg,43,pendel,Haninge,59.166429,18.134055
Helenelund,Pendeltåg,40/41,pendel,Sollentuna,59.408731,17.962877
Hemfosa,Pendeltåg,43,pendel,Haninge,59.068222,17.975488
Henriksdal,Saltsjöbanan,25,saltsjo,Nacka,59.312141,18.108423
Hjulsta,Tunnelbana,10,blue,Stockholm,59.396599,17.888219
Hornstull,Tunnelbana,13/14,red,Stockholm,59.31642,18.036711
Huddinge,Pendeltåg,40/41,pendel,Huddinge,59.235906,17.978356
Husby,Tunnelbana,11,blue,Stockholm,59.408185,17.928665
Huvudsta,Tunnelbana,10,blue,Solna,59.349659,17.987073
Hägernäs,Roslagsbanan,28,roslag,Täby,59.450942,18.125053
Hägerstensåsen,Tunnelbana,14,red,Stockholm,59.294998,17.977919
Häggvik,Pendeltåg,40/41,pendel,Sollentuna,59.443815,17.932998
Hässelby gård,Tunnelbana,17/18/19,green,Stockholm,59.366967,17.843908
Hässelby strand,Tunnelbana,17/18/19,green,Stockholm,59.361466,17.832463
Högberga,Tram,21,orange,Lidingö,59.344283,18.193714
Högdalen,Tunnelbana,19,green,Stockholm,59.263764,18.043057
Höglandstorget,Tram,12,nockeby,Stockholm,59.323207,17.940388
Hökarängen,Tunnelbana,18,green,Stockholm,59.257319,18.082846
Hötorget,Tunnelbana,17/18/19,green,Stockholm,59.335831,18.063265
Igelboda,Saltsjöbanan,25/26,saltsjo,Nacka,59.289784,18.275749
